"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 6.377848060633069
2 6.377848060633069
3 6.377848060633069
4 6.377848060633069
5 6.377848060633069
6 6.377848060633069
7 6.377848060633069
8 6.377848060633069
9 6.377848060633069
10 6.377848060633069
11 6.377848060633069
12 6.377848060633069
13 6.377848060633069
14 6.377848060633069
15 6.377848060633069
16 6.377848060633069
17 6.377848060633069
18 6.377848060633069
19 6.377848060633069
20 6.377848060633069
21 6.377848060633069
22 6.377848060633069
23 6.377848060633069
24 6.377848060633069
25 6.377848060633069
26 6.377848060633069
27 6.377848060633069
28 6.377848060633069
29 6.377848060633069
30 6.377848060633069
31 6.377848060633069
32 6.377848060633069
33 6.377848060633069
34 6.377848060633069
35 6.377848060633069
36 6.377848060633069
37 6.377848060633069
38 6.377848060633069
39 6.377848060633069
40 6.377848060633069
41 6.377848060633069
42 6.377848060633069
43 6.377848060633069
44 6.377848060633069
45 6.377848060633069
46 6.377848060633069
47 6.377848060633069
48 6.377848060633069
49 6.377848060633069
50 6.377848060633069
51 6.377848060633069
52 6.377848060633069
53 6.377848060633069
54 6.377848060633069
55 6.377848060633069
56 6.377848060633069
57 6.377848060633069
58 6.377848060633069
59 6.377848060633069
60 6.377848060633069
61 6.377848060633069
62 6.377848060633069
63 6.377848060633069
64 6.377848060633069
65 6.377848060633069
66 6.377848060633069
67 6.377848060633069
68 6.377848060633069
69 6.377848060633069
70 6.377848060633069
71 6.377848060633069
72 6.377848060633069
73 6.377848060633069
74 6.377848060633069
75 6.377848060633069
76 6.377848060633069
77 6.377848060633069
78 6.377848060633069
79 6.377848060633069
80 6.377848060633069
81 6.377848060633069
82 6.377848060633069
83 6.377848060633069
84 6.377848060633069
85 6.377848060633069
86 6.377848060633069
87 6.377848060633069
88 6.377848060633069
89 6.377848060633069
90 6.377848060633069
91 6.377848060633069
92 6.377848060633069
93 6.377848060633069
94 6.377848060633069
95 6.377848060633069
96 6.377848060633069
97 6.377848060633069
98 6.377848060633069
99 6.377848060633069
100 6.377848060633069
101 6.377848060633069
102 6.377848060633069
103 6.377848060633069
104 6.377848060633069
105 6.377848060633069
106 6.377848060633069
107 6.377848060633069
108 6.377848060633069
109 6.377848060633069
110 6.377848060633069
111 6.377848060633069
112 6.377848060633069
113 6.377848060633069
114 6.377848060633069
115 6.377848060633069
116 6.377848060633069
117 6.377848060633069
118 6.377848060633069
119 6.377848060633069
120 6.377848060633069
121 6.377848060633069
122 6.377848060633069
123 6.377848060633069
124 6.377848060633069
125 6.377848060633069
126 6.377848060633069
